Ecuador,100
El Salvador,93
Nicaragua,84
Panama,84
Peru,79
Bolivia,72
Mexico,68
Honduras,67
Colombia,65
Dominican Republic,64
Guatemala,63
Chile,63
Costa Rica,59
Uruguay,59
Equatorial Guinea,56
Paraguay,54
Puerto Rico,47
Cuba,46
Argentina,46
Venezuela,46
Timor-Leste,45
Aruba,31
Curaçao,30
Ethiopia,29
Belize,28
Eritrea,26
Solomon Islands,24
Caribbean Netherlands,24
Italy,23
Tonga,22
Congo - Kinshasa,22
Papua New Guinea,22
Indonesia,21
Suriname,20
Micronesia,20
San Marino,20
Palau,17
Djibouti,17
American Samoa,17
Sint Maarten,15
Trinidad & Tobago,15
Marshall Islands,14
Samoa,14
Haiti,14
Seychelles,14
Cayman Islands,14
Austria,14
Spain,14
Andorra,14
Anguilla,14
Guyana,14
Falkland Islands (Islas Malvinas),13
Fiji,13
Madagascar,13
St. Martin,13
Germany,13
U.S. Virgin Islands,13
Guam,13
Vanuatu,12
Congo - Brazzaville,12
Kiribati,12
Cook Islands,12
Gabon,12
Nauru,12
British Virgin Islands,12
United States,12
Cameroon,11
Liechtenstein,11
Tanzania,11
Sweden,11
Namibia,11
Burundi,11
French Guiana,11
Switzerland,11
Angola,11
Greece,11
Bermuda,11
Hungary,11
Martinique,11
Northern Mariana Islands,11
Croatia,10
Bosnia & Herzegovina,10
Somalia,10
Dominica,10
Comoros,10
Turks & Caicos Islands,10
Serbia,10
Åland Islands,10
Svalbard & Jan Mayen,10
Faroe Islands,10
New Caledonia,10
Belgium,10
Guadeloupe,10
Philippines,10
Zimbabwe,10
St. Helena,10
Mauritius,10
Montenegro,9
Netherlands,9
Réunion,9
Botswana,9
Malawi,9
Bahamas,9
Uzbekistan,9
Denmark,9
Luxembourg,9
Mauritania,9
Togo,9
St. Barthélemy,9
Eswatini,8
Latvia,8
French Polynesia,8
Grenada,8
Greenland,8
St. Kitts & Nevis,8
South Africa,8
São Tomé & Príncipe,8
Sudan,8
Antigua & Barbuda,8
Kyrgyzstan,8
Albania,8
Zambia,8
Mayotte,8
North Macedonia,8
Rwanda,8
Kazakhstan,8
St. Vincent & Grenadines,8
Gibraltar,8
Cyprus,8
Iceland,8
British Indian Ocean Territory,8
Sri Lanka,8
Barbados,8
Niger,8
Kenya,8
Russia,8
Benin,8
St. Lucia,8
Senegal,8
Lesotho,7
Estonia,7
Georgia,7
Guinea-Bissau,7
Jamaica,7
Czechia,7
Mozambique,7
Norway,7
Malta,7
Slovenia,7
Central African Republic,7
Belarus,7
Chad,7
Nigeria,7
Romania,7
Kosovo,7
Uganda,7
Montserrat,7
Canada,7
United Kingdom,7
Western Sahara,7
Cape Verde,6
Guernsey,6
France,6
Moldova,6
Algeria,6
Monaco,6
Ghana,6
Brunei,6
Slovakia,6
Gambia,6
Côte d’Ivoire,6
South Sudan,6
Jersey,6
Maldives,6
New Zealand,6
Lithuania,6
Burkina Faso,6
Azerbaijan,6
Sierra Leone,6
St. Pierre & Miquelon,6
Liberia,6
Australia,6
Armenia,6
Lebanon,6
Libya,6
Tunisia,5
Morocco,5
Guinea,5
Poland,5
Isle of Man,5
Tajikistan,5
Ukraine,5
Portugal,5
Ireland,5
Bulgaria,5
Mali,5
Turkmenistan,5
Yemen,5
Bangladesh,5
Bhutan,4
Türkiye,4
Afghanistan,4
Singapore,4
Iraq,4
Syria,4
Brazil,4
Egypt,4
Malaysia,4
Finland,4
Pakistan,4
Qatar,4
Nepal,4
Mongolia,4
Iran,4
Bahrain,4
Jordan,4
Myanmar (Burma),4
Israel,4
United Arab Emirates,4
Kuwait,3
Oman,3
Palestine,3
India,3
South Korea,3
Hong Kong,2
Macao,2
Cambodia,2
Saudi Arabia,2
Vietnam,2
Laos,2
Thailand,2
Japan,2
Taiwan,1
China,1

